Unnamed: 0,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation
1892,11.541347278777792,15.266435071286894,6.26477980914246,42.27188421667347,1.5913822751519198,,1.487843773010505,,1.2505795043016896,0.9377626477473539,,,,0.0256407259470767,0.7907553097522092,0.29139075883295223,0.06784521174857183,,,1.094272309700256,,0.003843183271614489,0.0,,0.15212040622126816,0.13219203214878006,,,0.1635800471127675,0.0,,0.035953300846279006,,,,17.76484551914546,0.011965800460432741,0.002094333500652665,0.3393302582301088,,,,,,,,,,,,,,,100.0,,1.5805821224551704
1893,12.249020513438339,18.378308258881507,6.007457879804148,40.51666509181233,1.857201903329598,,1.8029555485206694,,1.5464387520001064,1.5013180251623446,,,,0.032966233466413176,0.20941845539629841,0.416873007446402,0.04954037110628147,,,1.702102758497826,,0.00211495422330304,0.0,,0.11107786655553552,0.19866401929839783,,,0.2171753568428234,0.0,,0.08296593163178764,,,,14.272271375343374,0.020512354820933415,0.0027740526779047544,0.6251328382643538,,,,,,,,,,,,,,,100.0,,1.5294414018851439
1894,14.858594671023937,16.658342215228064,5.26279874579246,35.69678759482025,1.987956100172099,,2.1158270554204393,,1.6032931363831697,1.9724628503439479,,,,0.03740759097396927,0.2316197560531624,0.38321007038250854,0.09035979250397445,,,2.7960095689228672,,0.004093811878513,0.0,,0.20260189315517083,0.15607160934936223,,,0.2720442670592253,0.0,,0.02412643292683752,,,,17.38572447257671,0.020924465427469643,0.0030306625477313745,0.35254029247856267,,,,,,,,,,,,,,,100.0,,1.4314466227609282
1895,12.324680778619234,12.347418154660469,4.9512196168924065,38.892112095095314,1.7834112408909426,,1.593908923661505,,1.4765509801889407,1.6766456934044036,,,,0.02641424336021961,0.43247005629176827,0.27788473654058843,0.10834752857603687,,,3.38180821822174,,0.004886402827046126,0.0,,0.24293343089763644,0.20228765477992983,,,0.3180988286082126,0.0,,0.012892251826826589,,,,21.054592562211262,0.018388593083081252,0.0026327254173650876,0.4643242076065851,,,,,,,,,,,,,,,100.0,,1.5058361276815175
1896,11.637260665752072,10.666968803308901,4.958489851652178,43.47880034530814,1.431391349383847,,1.4002024775359279,,1.447184502790857,1.5513645865276922,,,,0.033925309319430906,0.2722750359609051,0.3106651929191038,0.1099654956393214,,,2.2512316589071664,,0.005863523392726511,0.0,,0.24656118590902315,0.20860291553870244,,,0.3402800281317999,0.0,,0.025657358959077954,,,,20.436425207925872,0.018900200698221195,0.0023501508122061687,0.5658366311627839,,,,,,,,,,,,,,,100.0,,1.6086855861361438
1897,11.552804036851567,15.456399731471365,5.091830511818669,34.842379922212025,1.3988702010385785,,,,1.482063366701599,1.6549458078259103,,,,0.027087736398299023,0.5265093866830316,0.260477285364318,0.07852743235139018,,,1.816590115121136,,0.004027231090424625,0.0,,0.17607174627261862,0.21142324544484878,,,0.35213822358502317,0.0,,0.015700016867162617,,,,24.631874929022022,0.018974427428370428,0.001800402986073166,0.3995042434655775,,,,,,,,,,,,,,,100.0,,1.441030536367391
1898,10.190663373673708,15.40115944890884,5.381739322151214,40.03189122218759,1.3079253985716244,,,,1.4219017547328658,1.2842581770736616,,,,0.021833011831870617,0.47755917537816794,0.2777122891972568,0.08709383298507561,,,1.667722945266426,,0.0047322199588458016,0.0,,0.19527906113928334,0.20335369051538893,,,0.388047973478617,0.0,,0.014032171061818428,,,,21.122148149530755,0.02170515500745493,0.0014514488693710113,0.4977901784801766,,,,,,,,,,,,,,,100.0,,1.5092160756749606
1899,10.683907692828146,14.920270477913222,5.168424061456107,30.330582906622094,1.2759543011615186,,,,1.4449404439738855,1.8587230875895822,,,,0.02215056666816397,0.22657551804253998,0.32224193108976196,0.06705151546099349,,,2.562279252260033,,0.002664618702593673,0.0,,0.15034080529482144,0.21084069601789093,,,0.36067951972244977,0.0009958667716382585,,0.01958123039733726,,,,29.755123595572837,0.019307912800023506,0.0017236352028474505,0.5956403644514878,,,,,,,,,,,,,,,100.0,,1.424456173418295
1900,15.056308883058325,14.53410897424033,6.54987784005315,30.64173446924044,1.580855087202836,0.5967238832815693,,,1.9163125367072777,1.7361740995205144,,0.02082249625694002,,0.06470424542417333,0.35496200310081283,0.5133801780176878,0.18988538506214092,,,5.4096861084081045,,0.005536370666567509,0.0,,0.2915416797942878,0.29574289183271474,0.0,,0.4303422281574422,0.0002371282630804254,,0.014117035928721324,,,,19.41267915113862,0.02864435275578577,0.0016755720645642341,0.31603664475815496,,0.03791075506575482,,,,,,,,,,,,,100.0,,1.5198142196357756
1901,18.718308914455857,12.089212705293443,7.318696706284211,21.73378976240977,1.8048916261656247,0.698759738442385,,,2.119405561843101,0.8285840942274192,,0.02438300601980672,,0.043234376817975775,0.5656142956815396,0.6047867148421987,0.18965646935338223,,,5.674764389754587,,0.0023869837985540667,0.0,,0.2508947385204381,0.34968618275147334,0.0,,0.4020297415991251,8.793061768499197e-05,,0.036505090121011406,,,,25.90946920167886,0.03427461844117611,0.0033593865331185955,0.5485343327552129,,0.048683431592052545,,,,,,,,,,,,,100.0,,1.472947647579443
