0,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation
1886,64.17736679431397,1.4870230168988847,0.00511519969502839,0.1889728896854751,0.14345923653265055,1.0636081629248897,0.20579364935980599,,3.2465622061651045,,,0.5172739153022687,,6.962948617019806,3.8451581436965587,,,,,,,,,,,0.1185256003845299,,,1.034157550341475,4.383925492519047,,,,,,1.8163101738624454,,,,,,,,,,,,,,,,,,100.0,,1.5161037094281034
1887,64.94246494595049,0.7149664725519342,0.004305603143053946,0.09985906110209254,0.11515624567428699,1.015198088500992,0.18924984366472658,,3.0598704886225208,,,0.5287490044276,,6.271195842073284,3.697803783329723,,,,,,,,,,,0.15859779603591043,,,0.9242072585760595,5.675856188028072,,,,,,0.8180328722399842,,,,,,,,,,,,,,,,,,100.0,,1.551535124655703
1888,65.43091746576582,0.20909612280607953,0.005139917137438753,0.11898401283335941,0.13937030879577628,1.0950988943810023,0.19577332313805323,,3.653022217825499,,,0.4770727856709317,,6.184265607150126,3.634014478739067,,,,,,,,,,,0.06811717724576233,,,0.954979906588622,4.443390870359194,,,,,,0.7234971433149339,,,,,,,,,,,,,,,,,,100.0,,1.5777677926776135
1889,59.173976758937144,0.08702722801367097,0.007029546137831863,0.13505008279999717,0.13233383407085791,1.1529405146468084,0.2058111852028342,,4.213658480882717,,,0.5086502270500625,,6.322899100178242,4.085351969699659,,,,,,,,,,,0.1936168157243543,,,0.9703215191297814,5.96934951458385,,,,,,0.7004396209938833,,,,,,,,,,,,,,,,,,100.0,,1.4916049210772366
1890,62.02148398892097,0.09273485597328615,0.004739892877751537,0.0979115726141341,0.22959589845075798,1.2312153784180022,0.21018850813699702,,4.221236241364009,,,0.5325722334552289,,6.298096154344739,4.215875132663684,,,,,,,,,,,0.08267801622906967,,,1.0945934207872698,4.90224151020805,,,,,,0.6386629129927726,,,,,,,,,,,,,,,,,,100.0,,1.5237593523147244
1891,66.02032987718746,0.05467620424051668,0.003926063807762582,0.07621122601394588,0.27609319317439807,1.3439900752302416,0.19878150808685366,,3.9177310692961544,,,0.4945883476847289,,5.803886740874274,4.101580712380513,,,,,,,,,,,0.07291482277823777,,,1.0780375559714708,1.739230676553951,,,,,,0.6703165015303643,,,,,,,,,,,,,,,,,,100.0,,1.6177923681291553
1892,58.76939439234097,0.05813721916719799,0.0030349864151503225,0.057972930906068795,3.3161275944066233,1.4884128720498182,0.23284280694184384,,5.306879810773254,,,0.5753528749100136,,6.7260001844099975,4.923981322479048,,,,,,,,,,,0.11028894515799,,,1.2862695186693414,3.2438019857290765,,,,,,0.6736918130594974,,,,,,,,,,,,,,,,,,100.0,,1.4317893711217964
1893,46.09892546035459,0.18650746114638336,0.001911776125011742,0.016722537614195194,9.540449822971519,1.6471407202020314,0.2927695050732559,,6.10667664072248,,,0.7259909335487628,,8.36919225653364,5.207957964408873,,,,,,,,,,,0.0622623517666223,,,1.6537484086504441,5.418234270511023,,,,,,0.6942413300499016,,,,,,,,,,,,,,,,,,100.0,,1.167496961287037
1894,38.70164745114356,0.4892553111704726,0.002436743903527542,0.0213939400988126,7.868074778006223,2.1260181708629564,0.32707971859430096,,6.291894828822318,,,0.7832698524231945,,9.55503146346141,5.622146216834885,,,,,,,,,,,0.0,,,1.0597903627796799,4.6108772224679235,,,,,,0.5229057890611153,,,0.0034515517672714397,,,,,,,,,,,,,,,100.0,,1.1718273610577314
1895,45.971861932172985,0.7665103922031098,0.0019218669155466313,0.01907480120176571,5.897860595150331,1.9153373563771634,0.26843743252255703,,5.088630562080981,,,0.6602109826906132,,8.468892413957036,5.232366977643797,,,,,,,,,,,0.0,,,0.838641344088357,4.73799323468057,,,,,,0.2572400479964039,,,0.002691629390969423,,,,,,,,,,,,,,,100.0,,1.317074254863274
1896,57.428903043937126,0.8014699587691864,0.0015975582571777338,0.015912970276298222,5.789363482585488,1.993690157815605,0.2606130925249157,,4.352108338619829,,,0.605925440120429,,5.876002133419624,4.945010179014673,,,,,,,,,,,0.06295458589943792,,,1.0115742793645794,3.827624489913437,,,,,,0.3492476052926395,,,0.0,,,,,,,,,,,,,,,100.0,,1.4842428751414474
1897,49.01742492508217,1.3483642491826364,0.0017496536210171276,0.014546273919523905,9.376991292986178,1.679355038029832,0.02603651221751678,,4.563028948680903,,,0.5858215248941275,,7.946526869226318,5.195982119455454,,,,,,,,,,,0.14569067968775049,,,1.0670306218930916,3.4058361631733693,,,,,,0.28256124884060085,,,0.004562898766119815,,,,,,,,,,,,,,,100.0,,1.306244481158918
1898,53.58410915613643,0.48909403163372117,0.0015601681540104374,0.008579056382202304,8.84406698081765,1.6255644239390188,0.2615850797143249,,4.440531292474338,,,0.572995888898045,,8.832682839669925,5.1360667468849215,,,,,,,,,,,0.11761721025789901,,,0.734088077667165,3.481510564512154,,,,,,0.18817932377353838,,,0.005231701594286498,,,,,,,,,,,,,,,100.0,,1.362674316032384
1899,52.69273622169717,0.8815241497940487,0.001365582310608962,0.01403058022059174,8.713834251834761,1.7552151850124307,0.27386336220052104,,4.671175334042479,,,0.5726233936919986,,7.999458351978799,4.919970807637748,,,,,,,,,,,0.10081272920347724,,,0.8304361844090061,2.8584488429679387,,,,,,0.1544713846157394,,,0.008794748427030371,,,,,,,,,,,,,,,100.0,,1.3664917686105416
1900,41.23307964284152,1.0010804361089138,0.0020962138456309606,0.018609747043797427,10.907900101699568,2.643931221209242,0.3477881191846239,,6.346817004101945,,,0.7163987346261877,0.2323856978188169,2.051312138342405,6.038211878375252,,,,,,,,,,,0.2991644370978169,,,1.1207163873982502,3.586723064600154,,,,,,0.20291065471792,,,0.04663522507248366,,,,,,,,,,,,,,,100.0,,1.306652607493313
1901,34.32154148753072,1.7134692373730893,0.003072018106278825,0.02688011215066725,12.587962110693587,2.0332856680921196,0.37949003421943905,,7.388948641887273,,,0.8574099104039411,0.2721221220988173,12.143721484205292,6.962303882657639,,,,,,,,,,,0.08922643731403396,,,1.5372659981795833,4.1602289190393,,,,,,0.18120186341253555,,,0.009089249112280222,,,,,,,,,,,,,,,100.0,,1.070980200418433
